,date,euribor
0,2020-01-12,"-0,487 %"
1,2020-02-11,"-0,486 %"
2,2020-01-10,"-0,442 %"
3,2020-01-09,"-0,373 %"
4,2020-03-08,"-0,336 %"
5,2020-01-07,"-0,233 %"
6,2020-01-06,"-0,103 %"
7,2020-04-05,"-0,108 %"
8,2020-01-04,"-0,168 %"
9,2020-02-03,"-0,327 %"
10,2020-03-02,"-0,290 %"
11,2020-02-01,"-0,248 %"
12,2019-02-12,"-0,270 %"
13,2019-01-11,"-0,281 %"
14,2019-01-10,"-0,330 %"
15,2019-02-09,"-0,384 %"
16,2019-01-08,"-0,300 %"
17,2019-01-07,"-0,217 %"
18,2019-03-06,"-0,175 %"
19,2019-02-05,"-0,114 %"
20,2019-01-04,"-0,112 %"
21,2019-01-03,"-0,108 %"
22,2019-01-02,"-0,110 %"
23,2019-02-01,"-0,121 %"
